Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,Unemployment with advanced education (% of total labor force with advanced education),..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.860099792,..,..,15.46039963,..,..
Afghanistan,"Unemployment with advanced education, female (% of female labor force with advanced education)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.956000328,..,..,30.48870087,..,..
Afghanistan,"Unemployment with advanced education, male (% of male labor force with advanced education)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.577700138,..,..,11.92780018,..,..
Afghanistan,Unemployment with basic education (% of total labor force with basic education),..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.380099773,..,..,12.2833004,..,..
Afghanistan,"Unemployment with basic education, female (% of female labor force with basic education)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.09119987,..,..,24.02330017,..,..
Afghanistan,"Unemployment with basic education, male (% of male labor force with basic education)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.140500069,..,..,10.8579998,..,..
Afghanistan,Unemployment with intermediate education (% of total labor force with intermediate education),..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.62119961,..,..,16.15460014,..,..
Afghanistan,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.35580063,..,..,41.25989914,..,..
Afghanistan,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.585100174,..,..,13.3757,..,..
Afghanistan,"Unemployment, female (% of female labor force) (national estimate)",..,..,..,..,..,..,..,..,2.187099934,..,..,..,3.332600117,..,10.11170006,..,..,14.02690029,..,..
Afghanistan,"Unemployment, male (% of male labor force) (national estimate)",..,..,..,..,..,..,..,..,2.65260005,..,..,..,1.360299945,..,7.196199894,..,..,10.3696003,..,..
Afghanistan,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",..,..,..,..,..,..,..,..,3.951600075,..,..,..,4.519299984,..,12.55389977,..,..,21.39870071,..,..
Afghanistan,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",..,..,..,..,..,..,..,..,4.094799995,..,..,..,2.551500082,..,8.863900185,..,..,16.28520012,..,..
Albania,Unemployment with advanced education (% of total labor force with advanced education),..,..,..,..,..,..,..,15.61299992,12.67850018,16.20299911,14.14459991,15.60330009,15.77289963,14.8998003,17.84309959,19.27630043,17.05439949,13.6942997,15.09029961,14.86369991
Albania,"Unemployment with advanced education, female (% of female labor force with advanced education)",..,..,..,..,..,..,..,15.30529976,15.38169956,18.53359985,14.38700008,18.68250084,19.20940018,16.21619987,18.60199928,21.61179924,17.70809937,14.03520012,15.14420033,15.82699966
Albania,"Unemployment with advanced education, male (% of male labor force with advanced education)",..,..,..,..,..,..,..,15.87870026,9.938300133,13.64579964,13.87730026,12.50889969,12.23279953,13.39999962,16.99469948,16.66390038,16.28989983,13.31359959,15.0593996,14.29940033
Albania,Unemployment with basic education (% of total labor force with basic education),..,..,..,..,..,..,..,14.21440029,11.37150002,11.55049992,12.73900032,12.30729961,11.78059959,14.05510044,15.0717001,13.5,12.91549969,12.23960018,6.363800049,5.815299988
Albania,"Unemployment with basic education, female (% of female labor force with basic education)",..,..,..,..,..,..,..,12.22490025,10.47939968,12.38339996,13.82040024,10.45069981,8.442199707,10.30920029,10.74870014,11.11950016,10.51140022,9.76609993,7.327799797,8.925999641
Albania,"Unemployment with basic education, male (% of male labor force with basic education)",..,..,..,..,..,..,..,15.51650047,12.16769981,10.81879997,11.83510017,13.99820042,14.70160007,17.33930016,18.5909996,15.4932003,14.9616003,14.30720043,5.48390007,3.139899969
Albania,Unemployment with intermediate education (% of total labor force with intermediate education),..,..,..,..,..,..,..,18.2329998,15.60630035,15.6019001,15.76039982,14.6019001,14.83360004,18.7968998,21.77949905,20.50239944,17.65169907,15.29360008,10.30920029,8.934599876
Albania,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",..,..,..,..,..,..,..,23.18079948,18.59950066,19.59720039,19.73859978,17.53919983,13.16930008,16.98760033,20.99379921,23.00970078,18.36790085,15.68830013,8.962900162,7.590400219
Albania,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",..,..,..,..,..,..,..,15.61859989,13.65310001,13.29920006,13.35960007,12.83189964,15.75629997,19.77840042,22.18569946,19.17639923,17.26980019,15.08990002,11.46500015,10.10929966
Albania,"Unemployment, female (% of female labor force) (national estimate)",19.29999924,19.89999962,19.10000038,18.20000076,17.5,17.20000076,16.79999924,16.4307003,13.72189999,15.64350033,15.84379959,13.7531004,11.48939991,13.4357996,15.52040005,17.12109947,14.47089958,12.50399971,11.88329983,11.31610012
Albania,"Unemployment, male (% of male labor force) (national estimate)",14.89999962,14.19999981,13.60000038,12.89999962,12.39999962,12.10000038,11.80000019,15.67809963,12.52070045,12.13580036,12.73200035,13.26509953,14.8100996,17.75580025,19.90539932,17.24690056,16.14119911,14.44200039,12.63000011,11.58479977
Albania,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",..,..,..,..,..,..,..,24.94300079,27.29529953,27.95879936,31.83650017,19.46640015,23.3484993,27.06609917,32.81330109,40.8205986,34.83769989,27.78849983,25.79599953,25.85050011
Albania,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",..,..,..,..,..,..,..,27.59199905,26.87820053,26.15710068,29.61529922,24.7621994,32.2784996,33.64509964,43.61439896,39.53480148,37.69350052,33.67950058,29.50830078,27.76350021
Algeria,Unemployment with advanced education (% of total labor force with advanced education),..,..,..,..,22.82999992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,"Unemployment with advanced education, female (% of female labor force with advanced education)",..,..,..,..,35.43000031,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
